"","area_worst","concave.points_mean","concave.points_worst","perimeter_worst","radius_worst"
"163",2232,0.1286,0.2247,174.9,26.73
"165",2403,0.09702,0.2346,184.2,28.01
"169",1660,0.1043,0.1721,155.3,23.14
"172",993.6,0.03438,0.116,116.6,17.98
"173",1102,0.1097,0.1827,125,18.79
"178",981.2,0.08866,0.2035,123.5,17.79
"181",3216,0.1878,0.2688,220.8,33.12
"182",2089,0.1496,0.2903,176.5,26.68
"185",973.1,0.03263,0.1226,113.8,17.8
"187",1410,0.05814,0.1571,139.2,21.31
"194",768.9,0.04562,0.1459,101.7,15.65
"195",784.7,0.08878,0.1727,118.6,16.08
"197",806.9,0.06526,0.1673,111.6,16.39
"200",1044,0.0598,0.1838,117.9,18.33
"202",1239,0.07488,0.1939,139.5,20.42
"203",1986,0.162,0.2733,177,25.12
"204",1153,0.09176,0.2013,128.5,19.2
"208",1210,0.0539,0.1096,130,19.8
"211",1656,0.09561,0.192,158.3,23.24
"213",2499,0.1595,0.1595,188.5,28.11
"214",1021,0.06597,0.1099,120.4,18.07
"219",2009,0.08691,0.182,170.3,25.73
"220",2477,0.06637,0.1625,180.2,27.9
"224",1088,0.06462,0.1479,125.9,19.56
"240",1408,0.08811,0.2066,141.2,22.51
"245",1417,0.08886,0.1564,144.9,21.65
"251",2010,0.131,0.2105,165.3,25.58
"253",1933,0.0974,0.2507,159.8,25.28
"254",1222,0.08353,0.1857,130.9,19.85
"255",1972,0.08591,0.1999,163.1,25.7
"256",826,0.05246,0.1374,108.1,16.39
"257",1926,0.1144,0.1941,178.6,25.05
"261",1844,0.09333,0.1697,162.3,24.33
"263",1295,0.07507,0.1528,137.9,20.39
"264",988.6,0.02847,0.08568,115.9,17.91
"265",1436,0.06527,0.1984,140.5,21.58
"273",2384,0.1088,0.1841,195.9,28.19
"275",1320,0.04744,0.1136,135.1,20.92
"278",1236,0.05843,0.1294,129,19.96
"283",1628,0.09464,0.2252,152.4,23.79
"284",1031,0.09052,0.1732,126.9,18.55
"298",553.6,0.03515,0.0716,85.1,13.36
"303",1696,0.128,0.1923,158.8,23.68
"324",1938,0.1504,0.2685,171.1,25.3
"330",975.2,0.07981,0.1047,113.7,17.73
"331",1070,0.07041,0.1981,124.3,18.76
"336",1362,0.09934,0.1827,143.2,20.99
"338",1873,0.0609,0.2048,161.1,24.54
"340",2906,0.141,0.2089,202.4,30.67
"344",1540,0.1103,0.2255,157.6,22.75
"352",915.3,0.1242,0.2135,119.4,17.36
"353",3234,0.1913,0.2756,229.3,33.13
"354",1050,0.06553,0.1526,121.2,18.51
"366",1780,0.07785,0.1765,161.2,24.31
"367",1671,0.1265,0.2152,160,24.19
"370",2227,0.1501,0.2432,195,27.66
"373",1535,0.1255,0.1966,152.1,22.69
"374",1946,0.08941,0.2112,166.8,25.37
"380",508.1,0.06367,0.2524,91.76,13.24
"386",758.2,0.05271,0.1359,102.2,15.79
"390",1313,0.1021,0.1825,142,20.82
"393",1359,0.09113,0.2121,142.1,21.2
"409",1349,0.08824,0.1974,138.1,21.08
"415",931.4,0.02739,0.06575,110.1,17.26
"431",832.7,0.09711,0.2475,125.4,16.35
"433",1479,0.1259,0.2173,146,22.03
"436",869.3,0.06463,0.1827,113.9,17.04
"442",1284,0.05736,0.1739,132.8,20.38
"445",1292,0.06254,0.1535,133.3,20.38
"447",1437,0.08293,0.197,145.4,21.53
"450",2022,0.1155,0.228,168.2,25.68
"452",1421,0.09063,0.1466,139.8,21.44
"480",939.7,0.09194,0.1775,122.1,17.39
"488",1740,0.1194,0.206,153.9,23.96
"493",1426,0.07762,0.1489,143.4,21.53
"499",1600,0.09183,0.1663,146.4,22.75
"502",788,0.06759,0.1521,106,16.01
"513",844.4,0.08172,0.2051,113.3,16.41
"517",1493,0.09451,0.151,142.2,21.86
"518",1646,0.09431,0.1613,160.5,23.73
"534",1645,0.1015,0.1613,152,23.23
"564",1819,0.1474,0.2542,179.1,24.29
"565",2027,0.1389,0.2216,166.1,25.45
"566",1731,0.09791,0.1628,155,23.69
"567",1124,0.05302,0.1418,126.7,18.98
"568",1821,0.152,0.265,184.6,25.74
