"","area_worst","concave.points_mean","concave.points_worst","perimeter_worst","radius_worst"
"332",634.3,0.0295,0.09858,99.21,14.42
"333",436.1,0.007583,0.02022,76.91,11.98
"334",492.7,0.002941,0.01667,82.08,12.76
"335",544.3,0.008535,0.03983,84.53,13.35
"337",576,0.02098,0.0585,87.38,13.72
"339",384,0.01775,0.06499,71.98,11.16
"341",862.1,0.04223,0.1414,111.4,16.67
"342",353.6,0.02292,0.0812,71.25,10.75
"343",440,0.03341,0.1075,79.76,11.92
"346",357.1,0.02037,0.04074,70.89,10.88
"347",562.6,0.008488,0.05093,86.54,13.64
"348",880.8,0.03528,0.1251,114.2,17.27
"349",475.8,0.02322,0.06548,79.67,12.51
"350",496.2,0.01787,0.04766,83.09,12.81
"351",542.5,0.01162,0.04262,83.61,13.28
"358",694.4,0.02088,0.05556,96.74,15.11
"359",302,0.02381,0.04762,65.27,9.981
"360",439.6,0.01406,0.05052,75.79,12.02
"361",585.7,0.005449,0.01635,86.82,13.72
"364",1009,0.04835,0.09123,117.2,18.13
"372",819.1,0.02657,0.08178,104.5,16.2
"375",670.6,0.02031,0.06987,99.16,14.84
"376",861.5,0.05397,0.1251,113.1,16.97
"377",351.9,0.05941,0.1465,76.51,10.85
"378",680.6,0.01117,0.05781,97.11,14.69
"383",488.4,0.02978,0.1092,87.36,12.57
"385",623.7,0.02864,0.09173,96.59,14.24
"387",529.9,0.02534,0.0914,87.65,13.13
"389",450,0.02757,0.08272,79.73,12.04
"392",317,0,0,64.01,10.17
"396",684.5,0.03251,0.07911,96.42,14.92
"397",675.2,0.05381,0.1453,97.33,14.8
"399",496.7,0.007246,0.05556,80.79,12.68
"402",589.5,0.01796,0.06876,87.64,13.8
"403",621.9,0.01883,0.06608,96.31,14.13
"404",580.9,0.0239,0.08388,89.69,13.86
"405",533.1,0.02054,0.04793,84.11,13.18
"411",521.3,0.021,0.08698,85.07,13.05
"413",301,0.005128,0.02564,66.61,9.965
"416",522.9,0.02179,0.08263,85.09,13.05
"417",359.4,0.01257,0.0377,68.73,10.85
"419",566.9,0.02402,0.08224,88.12,13.65
"420",458,0.01076,0.04306,79.26,12.36
"422",809.2,0.063,0.1108,114.1,16.46
"423",475.7,0.04497,0.1105,81.93,12.64
"425",380.9,0.01967,0.04589,71.79,11.21
"426",376.3,0.005159,0.02579,69.92,11.11
"427",440.4,0.02218,0.0931,81.41,12.13
"430",586.8,0.01835,0.03612,88.87,13.82
"432",515.8,0.02799,0.0737,89.61,12.88
"435",777.5,0.02877,0.07971,102.3,16.31
"438",750,0.02944,0.07453,101.2,15.66
"439",749.1,0.02293,0.0589,100.9,15.63
"440",688.9,0.02652,0.08216,96.53,14.91
"441",476.4,0.03613,0.1555,90.14,12.36
"443",706.6,0.009937,0.03312,97.9,15.27
"444",366.3,0.01111,0.02222,69.35,10.94
"446",513.9,0.04274,0.1202,84.48,12.98
"453",523.7,0.01945,0.07116,85.07,13.09
"454",749.9,0.06495,0.1069,103.1,15.8
"456",705.6,0.03264,0.07763,96.69,15.05
"457",527.8,0.02017,0.06835,86.04,13.12
"460",349.9,0.01043,0.04866,68.03,10.67
"463",734.6,0.01737,0.05563,100.4,15.4
"464",495.1,0.01777,0.08288,82.68,12.77
"465",687.6,0.0287,0.1045,95.1,14.9
"466",733.5,0.02833,0.1357,115,15.44
"468",380.2,0.005769,0.025,71.11,11.15
"470",528.1,0.05564,0.1416,88.14,13.36
"471",385.2,0.01514,0.0656,70.88,11.14
"474",558.9,0,0,85.08,13.45
"476",605.8,0.03078,0.09783,93.22,14.09
"477",828.5,0.03058,0.1339,112.1,16.45
"478",718.9,0.01339,0.06222,101.2,15.14
"481",547.4,0.01527,0.0569,88.83,13.34
"482",830.5,0.0207,0.0815,104.4,16.41
"483",660.2,0.05266,0.1335,94.94,14.83
"485",854.3,0.06211,0.1452,112.5,17.01
"486",580.6,0.04846,0.1342,97.82,13.78
"487",831,0.02791,0.07828,106,16.46
"489",549.8,0.03132,0.09815,86.57,13.32
"491",622.9,0.01261,0.06335,92.74,14.17
"492",1210,0.04178,0.08341,127.1,19.82
"494",534,0.01149,0.0268,83.24,13.19
"495",648.3,0.01256,0.04195,95.29,14.5
"496",783.6,0.04951,0.1017,103.9,16.01
"497",633.7,0.05074,0.1407,95.29,14.38
"498",607.3,0.02369,0.1053,92.82,14.06
"501",856.9,0.06142,0.1018,109.7,16.76
"503",552,0.03279,0.08411,86.67,13.57
"506",328.1,0.07038,0.1075,69.47,10.6
"508",411.1,0.04268,0.09514,76.08,11.69
"509",928.2,0.04563,0.1357,109.8,17.32
"511",473.8,0.02639,0.1056,81.25,12.45
"512",760.2,0.02541,0.07955,101.7,15.61
"514",862,0.04349,0.09186,108.5,16.76
"516",478.6,0.02594,0.08542,79.15,12.47
"519",674.7,0.05303,0.1096,99.31,15.05
"521",326.6,0.02421,0.07262,67.84,10.57
"523",435.9,0.005664,0.02832,76.38,11.93
"524",701.9,0.03783,0.1284,99.43,15.11
"525",376.5,0.02416,0.06528,74.32,11.24
"528",564.9,0.02647,0.107,87.22,13.61
"529",653.3,0.06615,0.1015,94.52,14.62
"531",552.3,0.0444,0.101,88.52,13.5
"533",773.4,0.0188,0.08704,101.6,15.85
"535",407.5,0.02788,0.09861,76.43,11.62
"538",487.7,0.04531,0.1308,86.12,12.98
"540",223.6,0.01364,0.05,54.49,8.678
"541",457.8,0.02594,0.06918,78.78,12.26
"542",808.9,0.0389,0.1205,113.5,16.22
"545",688.6,0.02369,0.06845,99.17,15.05
"546",729.8,0.02443,0.07174,97.58,15.35
"547",384.9,0.005495,0.02381,71.12,11.25
"548",357.4,0.02438,0.08333,71.08,10.83
"549",364.2,0.009615,0.03846,69.1,10.93
"553",594.7,0.01499,0.06498,88.1,13.87
"554",295.8,0.01282,0.02564,62.86,9.845
"556",357.6,0.02738,0.09127,69.57,10.84
"559",733.5,0.03736,0.1105,105.9,15.48
"561",706.7,0.04304,0.1048,100.2,15.3
"562",439.6,0,0,75.19,11.92
"569",268.6,0,0,59.16,9.456
